	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	13010	3603,2576	4800	8	1987,28	143,26	0,644961749553
2	13051	3614,7584	4805	7	2007,8	115,66	0,64292971048
3	16179	14225,6768	3112	5	14640,29	4152,65	0,485963723929
4	16032	14158,5088	3205	6	13514,47	3659,84	0,495897578168
5	13014	3516,4224	4783	8	2024,67	170,16	0,644710179635
6	13050	3640,704	4697	8	2079,97	146,02	0,644383339732
7	16102	14069,0176	3149	5	14091,96	3904,12	0,491242935417
8	16098	13246,7008	3178	5	14024,81	3931,94	0,491305866186
9	12991	3612,4544	4770	8	1972,83	141,29	0,646057732856
10	13021	3578,272	4752	6	2013,07	138,58	0,644816113913
11	16069	13496,4096	3172	6	13956,42	3916,6	0,494007332277
12	16078	14744,9472	3159	6	14026,92	3927,08	0,492562280879
13	12997	3473,5936	4797	8	1952,95	123,58	0,645393108778
14	13095	3719,3856	4748	7	2128,19	161,58	0,642222135518
15	16097	14146,9696	3171	5	14021,25	3910,38	0,491768073566
16	16102	13420,3392	3138	6	14109,05	3888,53	0,491245232681
17	13036	3782,1376	4778	7	2031,92	149,04	0,644245782841
18	13036	3616,4672	4730	8	2065,48	163,7	0,645104990164
19	16157	13787,648	3143	5	14264,82	3921,36	0,487350734165
20	16094	14785,0944	3149	6	14182,78	4014,45	0,491431668507
