	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	9968	14,5792	4947	13	3,36	0,9	0,692943663536
2	10072	12,5376	4990	11	2,48	1,36	0,692797099171
3	9958	12,3392	5013	15	1,84	1,35	0,692990979537
4	9935	9,088	5040	13	4,33	2,21	0,693007629762
5	10029	16,16	4983	12	3,19	2,79	0,692939314668
6	10022	20,2944	5042	14	3,1	1,59	0,693029063805
7	9947	15,8464	5033	22	1,38	0,0	0,692986265365
8	10070	14,1568	4999	13	2,91	1,92	0,693056002766
9	10053	3,5072	4995	11	1,59	1,0	0,692970416857
10	9908	10,3872	5035	13	6,55	3,88	0,692940859109
11	10033	11,2448	4995	11	3,31	3,07	0,69303498505
12	9935	15,6608	5031	12	3,38	1,76	0,692950392157
13	9979	4,8896	5011	13	2,57	2,38	0,693071081854
14	10025	10,3296	4983	15	1,64	1,28	0,693029070651
15	10084	13,9584	4997	13	1,89	0,47	0,692954741562
16	9918	13,4336	5030	22	4,16	2,14	0,692937825335
17	9932	20,736	5049	12	3,37	0,52	0,692920476519
18	10079	6,3104	5009	14	3,03	1,72	0,692915077604
19	10020	15,744	5052	11	3,75	1,51	0,692916571018
20	10002	6,7456	4967	13	3,09	2,22	0,693017399715
