	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	12540	1436,2176	4692	8	1447,43	81,22	0,660224256159
2	12562	1420,9344	4692	10	1482,25	93,59	0,659790534652
3	12543	1403,8336	4674	10	1446,12	67,73	0,66038534348
4	12514	1422,2464	4677	9	1408,36	60,34	0,660946753758
5	12531	1479,8912	4644	8	1481,99	99,41	0,660650993793
6	12555	1471,3664	4658	9	1490,56	91,39	0,660042281018
7	12465	1371,8592	4643	10	1401,8	84,02	0,662213333257
8	12484	1387,7888	4668	11	1408,13	85,9	0,661726525993
9	12560	1445,056	4690	11	1474,62	87,02	0,659945811442
10	12503	1399,9488	4706	9	1380,49	58,34	0,661319551133
11	12524	1388,6336	4672	8	1445,86	85,67	0,660888762458
12	12505	1399,648	4661	9	1432,31	84,83	0,661305644876
13	12350	1227,9296	4691	15	1249,07	68,19	0,665149349848
14	12642	1532,0768	4646	9	1594,01	97,73	0,657767596276
15	12496	1351,6544	4664	10	1395,36	59,04	0,661443847624
16	12507	1383,6288	4757	9	1390,48	86,24	0,661011994329
17	12511	1365,6448	4713	10	1394,87	67,95	0,66095341842
18	12471	1336,6336	4702	8	1360,47	68,26	0,662209674279
19	12504	1432,32	4705	10	1439,34	115,72	0,661294884259
20	12445	1311,1872	4720	8	1328,89	70,57	0,662761927426
