	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	10008	22,336	5014	10	0,8	0,63	0,692964023065
2	9920	12,5632	4927	13	6,75	1,21	0,692947808253
3	9996	20,9728	5021	13	1,92	1,56	0,693065273167
4	10090	26,4064	4933	13	7,26	2,05	0,6928032885
5	10113	14,2016	4960	12	11,12	7,29	0,692825020168
6	10019	7,68	5015	15	1,6	1,35	0,692939669319
7	9958	17,1008	4952	16	7,74	5,54	0,692888298756
8	9992	14,7712	5028	11	5,08	4,44	0,692993873316
9	10068	13,7088	5059	13	4,4	0,69	0,692972007707
10	9887	30,0864	5006	14	6,84	4,26	0,692887400567
11	9944	14,5024	4967	12	2,85	1,35	0,692924713045
12	9975	8,0576	4971	12	0,84	0,04	0,692972679475
13	9961	9,504	4977	16	2,14	1,41	0,693059682654
14	9922	12,9536	5033	12	2,9	0,82	0,693053270928
15	10044	14,7264	5024	14	2,13	1,28	0,692936198969
16	9930	26,1376	4987	17	3,87	2,76	0,692960541746
17	9991	12,6464	4975	14	0,8	0,29	0,692989691061
18	9788	24,3904	4946	13	13,0	1,68	0,692672353976
19	9959	10,7648	5005	14	2,97	2,62	0,692990948233
20	10033	9,3184	4989	15	4,29	3,98	0,692944265961
