	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	9905	18,4704	5062	17	5,33	0,45	0,692801567169
2	9941	26,048	5026	14	6,0	4,77	0,692951244174
3	10042	13,0752	4944	13	4,34	1,48	0,692956189516
4	10036	10,8032	4977	16	2,67	1,95	0,692991066602
5	10026	24,6336	4959	15	4,1	2,62	0,692962482514
6	9923	16,1536	5064	12	6,35	1,88	0,692920059993
7	9964	9,4848	5001	10	4,85	4,59	0,693013439484
8	9946	11,1552	4973	13	1,5	0,29	0,693046962617
9	9920	14,9632	4941	18	4,34	0,27	0,692975997015
10	10086	24,1536	4963	13	4,4	1,82	0,692779942957
11	9969	7,936	4978	19	1,12	0,54	0,692988520745
12	10112	19,1552	5031	14	3,88	0,65	0,69303236693
13	10021	11,5776	5001	12	3,42	3,33	0,69295907383
14	9882	18,7712	5019	17	5,75	2,68	0,692898189275
15	9886	23,136	5024	13	5,51	2,45	0,692715639761
16	9852	18,5344	5001	15	6,08	1,7	0,6929076549
17	9933	11,456	5015	15	3,2	2,12	0,693011129818
18	10101	10,5024	5033	14	3,52	0,66	0,692971180793
19	10069	25,2864	4933	14	5,31	0,77	0,692908089692
20	10014	11,1936	4966	14	2,24	1,22	0,693020443377
