	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	4239	9918,1632	3328	30	10968,56	2094,27	0,509228953275
2	5909	4000,384	4069	32	4187,96	147,29	0,596458624507
3	7497	1659,1488	4504	17	1839,29	389,47	0,632583563136
4	9870	295,2384	4767	15	489,79	442,85	0,679047172925
5	12554	1423,6352	4705	7	1440,25	64,79	0,64909174265
6	11716	763,9808	4825	12	867,39	253,96	0,665058137097
7	10310	320,5312	4892	11	619,99	591,22	0,675287724932
8	9225	594,2656	4825	15	953,84	809,38	0,663979690784
9	6175	3424,2176	4121	20	3565,56	22,15	0,599766291638
10	12062	3080,704	3573	26	3728,49	1249,06	0,611865059017
11	7195	1759,8336	4486	21	1788,56	4,31	0,646741972904
12	8356	1704,736	3820	30	2029,02	374,56	0,642313059306
13	16047	11358,176	3188	5	12331,16	2387,37	0,488818317394
14	11547	707,3856	4429	19	791,61	51,06	0,673009470936
15	10540	344,9792	4838	11	580,95	501,64	0,676503592697
16	9441	472,4352	4857	12	742,03	663,29	0,671284585278
17	8801	616,6976	4819	16	838,78	525,05	0,667196045496
18	8963	571,8976	4842	14	877,47	642,42	0,666382539411
19	9079	540,3712	4853	13	792,95	606,01	0,669805491894
20	9286	504,576	4813	14	725,15	595,22	0,672320836991
