	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	10020	16.0384	5053	14	5.74	3.41	0.692937752968
2	9838	9.248	5031	12	6.14	0.12	0.692929398
3	10031	6.0992	4970	12	1.65	0.74	0.693035843004
4	9980	19.1168	4935	12	4.14	0.58	0.692960468725
5	9927	23.0656	5057	17	9.25	5.58	0.692785225082
6	10035	12.6592	4986	12	3.76	3.36	0.692954428831
7	10094	16.0832	4991	15	7.12	5.28	0.692825975492
8	9915	12.0896	4919	12	7.51	0.69	0.692943836737
9	9980	11.2512	4954	15	2.49	0.64	0.692964864801
10	9884	20.8576	5024	14	5.08	1.96	0.692892576009
11	9885	17.1904	4964	15	5.98	2.3	0.692801328075
12	10053	14.0864	4995	13	0.86	0.28	0.693073725185
13	10115	19.3792	4988	12	7.58	4.8	0.692894533761
14	9973	8.1344	5010	13	3.08	2.85	0.692934812387
15	10032	16.4352	4989	12	1.62	1.31	0.692930776528
16	9996	9.2928	4986	13	0.52	0.36	0.693104506442
17	10089	17.472	5018	13	1.99	0.14	0.693067089671
18	10006	11.5648	5017	14	1.28	1.04	0.693051418742
19	10067	25.1136	5038	10	2.78	0.79	0.693063643579
20	10109	12.1152	5000	12	2.87	0.49	0.692958370497
