	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	10110	8,0704	4979	15	4,19	1,42	0,693014015233
2	10082	10,1312	5032	15	2,63	0,47	0,692996126219
3	10039	11,1552	4933	14	6,27	2,38	0,69292341635
4	10076	8,096	4931	14	8,02	3,05	0,692906981568
5	10016	11,9808	4925	12	7,89	3,34	0,692901039947
6	9990	13,2352	5004	15	1,28	1,25	0,693053528202
7	9876	11,7568	5016	15	4,38	1,1	0,693006182548
8	9992	20,0128	5006	15	6,12	6,09	0,692804129086
9	10062	12,6784	5043	13	8,3	6,05	0,692800685889
10	9938	9,5488	4985	14	2,52	1,55	0,692986954351
11	9922	19,2128	5014	13	3,99	2,61	0,692914639082
12	9988	6,5472	4988	12	1,72	1,58	0,693029808951
13	9922	16,2816	5013	15	1,85	0,5	0,693030611463
14	9938	11,8656	5036	14	2,9	1,16	0,693065216487
15	10043	11,104	4992	10	0,91	0,48	0,69297221694
16	9892	18,6496	4964	12	4,43	1,0	0,692836802407
17	10056	20,2944	4953	15	2,48	0,01	0,6930541443
18	10027	15,4944	5058	11	3,18	0,34	0,692898402116
19	10081	11,2256	5073	13	5,7	0,13	0,692987777498
20	9997	12,96	4941	14	9,5	6,71	0,692877314611
