	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	5047	6824,064	3776	28	6899,67	794,69	0,560706822976
2	8665	886,3552	4906	13	777,43	413,92	0,669746063361
3	12136	1139,5904	4794	9	1093,68	146,21	0,660580551198
4	9760	479,6096	5080	14	755,02	738,54	0,673743323092
5	9108	2424,5056	5470	24	651,91	316,79	0,671153565317
6	7823	1146,8608	4857	18	1027,94	64,47	0,668490705938
7	13770	4537,2608	4579	7	3283,42	297,21	0,61597164999
8	10037	327,3792	5004	10	533,55	533,26	0,679523225632
9	8832	581,8112	4930	12	857,03	580,27	0,668989565249
10	9233	429,9904	4989	14	678,88	561,13	0,67495150256
