	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	12314	1136,6784	4764	10	1139,62	24,15	0,665478080162
2	10465	51,1296	4996	14	45,71	2,44	0,691999599854
3	10470	64,128	5015	13	44,36	0,02	0,691957620846
4	9883	25,2864	4990	18	16,32	13,5	0,692730229079
5	8983	263,7632	4731	24	269,07	3,89	0,6867146255
6	10361	55,9616	4853	13	45,88	2,53	0,691765143263
7	10868	204,6848	4743	13	208,87	5,35	0,687914920552
8	10101	20,8512	5009	15	17,63	15,54	0,692606356181
9	10192	44,2944	4953	14	35,37	26,23	0,692114467033
10	10189	22,8224	5000	13	29,41	22,26	0,692372253534
