	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	9937	10.7264	4957	15	2.97	0.64	0.693041402576
2	9994	19.8656	4952	14	3.69	1.87	0.693021841717
3	9916	13.2864	5043	11	5.22	2.39	0.692990071344
4	9993	17.28	4935	13	3.58	0.09	0.692878911773
5	9960	16.6912	5057	12	8.17	5.25	0.692873766618
6	10102	15.8528	5012	15	2.56	0.36	0.692878082731
7	10031	11.4304	4991	13	0.67	0.39	0.693119619603
8	9979	13.824	5009	13	1.55	1.39	0.692953442548
9	10013	19.8464	4978	13	4.36	3.96	0.692957019198
10	10130	10.2976	4992	14	3.6	0.21	0.693006723455
11	9858	9.056	4995	16	4.91	0.86	0.692916076596
12	10047	10.3616	4972	13	1.46	0.35	0.692997581764
13	10070	16.0448	5070	11	12.07	7.17	0.692783154498
14	10030	6.2848	5025	13	3.48	2.83	0.692946120655
15	10049	13.1904	5022	13	0.92	0.09	0.692932853772
16	9944	12.3584	4991	16	3.16	2.49	0.692877767573
17	10046	22.0224	4968	14	1.71	0.47	0.693022512424
18	9947	27.8528	4948	11	2.82	0.03	0.692928632346
19	9973	8.0768	5010	14	1.12	0.89	0.692918406946
20	10036	15.6096	5079	14	7.83	2.66	0.69290332931
