	PojBit	Pok	S1	S2	S3	S4	S5	S>5	NS	ST1	ST2	ApEn
1	10057	243.417	3097	1528	591	213	117	85	16	0.0	0.01	0.0
2	9990	198.976	2992	1484	623	231	103	110	11	0.0	0.0	0.0
3	9989	115.276	2843	1454	599	260	124	116	13	0.0	0.07	0.0
4	9993	161.634	2957	1484	580	261	114	103	14	0.0	0.27	0.0
5	10033	287.718	3039	1622	563	208	105	88	18	0.0	0.0	0.0
6	10016	101.209	2862	1395	562	313	128	107	12	0.0	0.92	0.0
7	9983	100.288	2851	1436	629	232	129	117	13	0.0	0.01	0.0
8	9963	145.337	2892	1472	575	287	116	109	13	0.0	0.01	0.0
9	10097	181.203	2929	1559	578	238	107	95	11	0.0	0.0	0.0
10	10036	62.3744	2812	1415	586	283	139	104	13	0.0	0.11	0.0
