	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	7045	4129,92	3880	226	4610,72	1859,01	0,611695439003
2	6170	7179,6928	3562	162	7855,83	3267,77	0,56757393569
3	4697	14482,5856	2870	215	15906,42	6649,13	0,486819885736
4	3734	20248,5184	2473	227	22139,17	9173,99	0,438268888644
5	3962	18214,6624	2626	273	19857,38	8053,4	0,456644551969
6	3648	20703,36	2443	239	22529,11	9228,93	0,432861154565
7	3259	24314,5664	2229	238	26424,92	11189,51	0,404280755693
8	3857	19654,8864	2512	229	21433,54	8934,14	0,442101014163
9	3716	19796,5376	2532	312	21546,55	8772,05	0,440798855627
10	4531	14522,5152	2910	256	15866,59	6386,77	0,491723446003
11	3873	19627,6096	2516	268	21251,19	8806,96	0,445310474249
12	3804	20255,8464	2464	266	22129,44	9306,32	0,438267733385
13	4512	15792,4736	2756	264	17144,61	7088,96	0,479423355871
14	4060	17838,0736	2619	200	19794,51	8202,46	0,459097667148
15	4667	14636,8	2854	327	16147,36	6771,49	0,490928000093
16	3702	20417,0304	2497	191	22142,71	9197,74	0,43715727242
17	4530	17397,9264	2641	266	18794,9	8358,82	0,459317427504
18	4882	14572,3008	2745	220	16309,28	6998,86	0,482511131947
19	3843	22530,0928	2327	287	24126,67	10824,72	0,414274306322
20	3986	19042,5536	2543	196	21063,55	8996,5	0,446443567648
