	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	9940	74,2144	5304	14	79,45	4,8	0,690723466345
2	9990	117,984	5417	18	161,54	23,08	0,688252172093
3	9937	226,1952	5573	15	275,79	13,24	0,684006154028
4	9982	313,3376	5691	14	440,63	59,69	0,678614826867
5	10035	310,0096	5669	13	395,64	37,35	0,681067923783
6	9906	300,8064	5681	16	395,85	24,17	0,681528600974
7	10129	417,7152	5781	12	530,21	38,92	0,677216219807
8	10059	314,848	5663	10	380,27	28,98	0,681477158776
9	9924	275,3728	5620	14	336,68	29,0	0,682898498386
10	9979	225,2672	5590	13	290,97	13,35	0,684526674445
11	9942	290,1696	5621	10	364,62	56,43	0,682004415717
12	9996	237,0496	5600	12	312,07	24,07	0,683807045477
13	9940	200,6336	5548	16	251,08	10,12	0,685482695992
14	9995	307,4432	5613	11	359,41	58,79	0,682076110396
15	9952	206,6752	5541	16	249,91	15,3	0,68596313216
16	9981	332,256	5676	14	391,08	26,51	0,681745096744
17	10031	341,5872	5638	20	364,81	38,98	0,682169246498
18	9971	241,0432	5531	23	270,7	44,96	0,683326764888
19	10005	337,824	5658	16	399,6	53,23	0,680259900505
20	9949	340,9856	5705	14	451,31	53,17	0,679057830735
