	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	10159	21,3824	5024	12	6,99	1,43	0,692929602102
2	10076	18,144	5032	12	3,33	1,35	0,693025730198
3	9924	11,2128	5028	13	1,73	-0,05	0,693042736624
4	9943	13,0496	5034	13	3,91	2,34	0,692879908412
5	10051	18,4192	5019	12	0,9	0,12	0,693099207526
6	9949	11,5712	4996	13	1,62	1,1	0,692980295051
7	10058	20,4544	5003	16	10,11	9,45	0,692786116831
8	10050	18,4064	4933	12	4,16	0,03	0,692895956832
9	10095	19,168	4978	12	3,34	1,17	0,692951573048
10	9921	7,1296	5008	13	1,58	0,32	0,692991061595
11	10047	10,1312	4953	16	4,45	2,3	0,693021244568
12	10037	10,7328	5025	15	3,07	2,33	0,693050094141
13	9949	24,16	5000	17	5,35	4,83	0,692992327606
14	10091	8,2304	4962	12	4,91	2,04	0,692974030148
15	10031	20,8448	4985	13	2,42	2,02	0,693008373619
16	10087	21,8816	4958	15	6,63	3,64	0,692929754149
17	10007	14,048	4975	16	1,46	0,91	0,692865663419
18	9893	22,1056	5055	13	5,02	0,4	0,692952178875
19	10143	16,7296	5024	15	6,33	1,78	0,692948567136
20	10005	21,4016	5019	13	8,0	7,7	0,692855183183
