	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	10008	37,3248	5226	14	42,99	2,12	0,691753257921
2	10022	33,6	5206	16	38,65	4,93	0,691972078128
3	9969	20,3392	5125	15	13,26	0,56	0,692649236966
4	10218	24,9984	4990	14	20,4	10,82	0,69249000539
5	9784	25,2992	5044	12	11,63	0,75	0,692638533258
6	9986	25,6448	5066	17	5,16	1,64	0,692849597621
7	9789	16,704	4999	13	18,85	9,95	0,692478344095
8	10097	13,9776	5049	15	5,58	1,86	0,692808444852
9	10037	16,0448	5051	15	8,85	6,5	0,692761676562
10	9930	17,4464	5049	14	6,76	3,94	0,692900270891
11	10062	18,5024	5004	17	6,44	5,67	0,692675657529
12	10037	17,504	5069	13	4,18	0,1	0,692976435981
13	10063	18,5728	5050	13	12,71	9,92	0,692683047602
14	10082	27,9168	5139	13	17,72	0,92	0,692620120097
15	9929	20,128	4966	16	2,05	0,06	0,693005200097
16	9886	13,1968	5049	18	4,6	0,08	0,693001330887
17	9963	35,4304	5167	13	24,51	1,92	0,692484584283
18	9957	63,936	5242	13	50,88	4,05	0,691707755942
19	9922	22,1888	5108	14	10,62	0,07	0,69283358756
20	10054	18,176	5058	17	9,16	5,89	0,692709287518
