	PojBit	Pok	TS	NS	ST1	ST2	ApEn
1	10021	32,6272	5023	13	1,57	1,06	0,693080348468
2	9933	11,7632	4985	14	1,27	0,2	0,693057999287
3	9962	12,5504	4973	11	1,59	0,72	0,693025632905
4	10068	14,3296	5008	13	4,72	3,74	0,692977482763
5	10070	8,9536	5011	15	1,86	0,79	0,69307081185
6	9982	28,2752	5035	16	1,25	0,21	0,692973230782
7	10016	16,2368	5030	12	1,02	0,25	0,693036906393
8	10037	11,8464	5008	14	0,52	0,19	0,693069377051
9	9966	9,1136	5042	14	3,5	1,92	0,692934944447
10	10013	10,5408	5029	13	2,2	1,5	0,692859305061
